thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,calibration_tag,diagnostic_noise
39.900000000000006,,3.3000000000000003,4.9,C2,1.0,1.0,0,A,
41.1,109.0,4.1000000000000005,8.6,C3,5.0,0.0,0,A,0.1458543017297664
42.8,128.0,4.1000000000000005,5.800000000000001,C5,4.0,0.0,1,A,-0.2768833277122234
54.1,76.0,-2.0,-13.2,C1,2.0,0.0,0,A,-0.1378173571728704
51.3,131.0,3.1,2.2,C2,4.0,0.0,0,A,0.5969275294222969
55.7,66.0,4.0,,C1,4.0,0.0,1,A,0.0713916593227288
46.7,121.0,-0.8,-11.0,C2,3.0,0.0,0,A,-2.5277014612862283
51.400000000000006,85.0,0.4,-6.7,C3,4.0,0.0,0,A,-0.83192554637766
55.2,130.0,3.5,,C1,3.0,0.0,0,A,-0.0429764566789494
47.7,135.0,4.6000000000000005,3.2,C5,4.0,,1,A,0.9801087917784616
53.8,111.0,,1.3,C1,4.0,0.0,1,,-0.5558053986619359
44.900000000000006,90.0,2.7,-2.0,C3,5.0,0.0,0,A,-0.6450852331679664
47.3,93.0,-3.6,-0.2,C3,4.0,0.0,1,A,0.3988158864839374
47.1,83.0,2.8000000000000003,-4.3,C2,5.0,0.0,0,A,-1.1151271888434615
40.6,115.0,3.6,-2.2,C4,2.0,1.0,1,,0.5852927990583215
54.1,104.0,0.0,-2.9000000000000004,C3,2.0,0.0,0,A,-0.6720264914603995
46.400000000000006,35.0,5.300000000000001,-3.4000000000000004,C3,3.0,0.0,0,,0.1429437587100278
50.3,124.0,3.0,-2.7,C2,2.0,1.0,0,A,0.2933241540748829
54.0,129.0,1.1,3.9,C3,5.0,1.0,0,A,0.355654255479701
53.7,108.0,3.6,-2.0,C1,2.0,1.0,1,A,1.0584594398158538
55.5,88.0,2.2,3.6,C3,3.0,0.0,1,A,
49.400000000000006,,0.4,1.4,,3.0,0.0,1,A,-0.7927724088167997
46.8,74.0,,-3.2,C3,5.0,1.0,0,A,-0.0149343697896622
49.5,105.0,,-7.1000000000000005,C4,2.0,1.0,0,A,2.0801538882826165
36.7,28.0,-4.5,-5.300000000000001,C5,5.0,1.0,0,A,1.0420300191052143
38.6,92.0,3.6,-7.4,C1,2.0,0.0,0,A,-0.9877582501310302
39.6,85.0,,-3.9,C3,2.0,0.0,0,A,-1.2525185006145578
42.2,122.0,4.3,3.2,C4,2.0,,1,A,-0.2083153073028675
53.400000000000006,125.0,6.800000000000001,,C1,5.0,1.0,0,A,-1.4536460659010064
42.900000000000006,69.0,-2.8000000000000003,-4.7,C1,2.0,0.0,0,A,-1.310377500721073
47.1,50.0,0.1,-4.1000000000000005,C1,1.0,0.0,0,A,1.0819114048883487
60.6,96.0,,-2.3000000000000003,C4,2.0,1.0,1,A,1.0249649679104178
47.3,133.0,2.4000000000000004,-1.5,C5,3.0,1.0,1,A,0.9241382836726466
56.1,118.0,3.3000000000000003,,C4,2.0,,0,A,1.607853778280426
42.7,104.0,-1.9,-1.7000000000000002,C2,2.0,0.0,0,A,-2.02346828118271
48.5,81.0,3.8,1.6,C3,2.0,1.0,0,A,0.1375496149185496
42.6,101.0,4.1000000000000005,4.6000000000000005,C1,4.0,0.0,1,A,-0.6494278759064674
47.400000000000006,55.0,2.1,0.2,C5,3.0,0.0,1,A,1.0112653891172374
56.900000000000006,137.0,-3.3000000000000003,-10.2,C5,,,1,A,-1.0004702856972871
36.3,46.0,5.1000000000000005,-1.9,C2,5.0,0.0,0,A,0.4175600556761533
53.6,53.0,0.3,1.2000000000000002,C1,,0.0,1,A,0.8441924814517087
52.1,165.0,3.9,-4.0,C5,4.0,1.0,1,A,0.9735388743633456
45.400000000000006,96.0,4.800000000000001,1.0,C4,2.0,1.0,0,A,1.5796655704785467
38.6,84.0,3.3000000000000003,0.8,C5,3.0,0.0,1,A,1.4928443156248867
50.7,51.0,0.7000000000000001,-5.4,C2,2.0,0.0,0,A,0.1213345797367923
45.900000000000006,110.0,2.3000000000000003,-6.7,C1,3.0,1.0,0,A,-1.529317954017763
52.0,127.0,4.4,-2.7,C2,1.0,0.0,1,A,0.4166148760880659
50.3,95.0,,-12.1,C2,3.0,1.0,0,A,1.4943524584095886
63.0,146.0,4.5,4.9,C4,3.0,0.0,0,A,1.17482225671555
48.2,129.0,6.0,,C1,3.0,0.0,0,A,-1.9909995703275185
42.0,101.0,1.2000000000000002,-3.8,C3,2.0,0.0,0,A,
51.6,44.0,3.5,-4.3,C4,2.0,1.0,0,A,0.6348978819550049
51.900000000000006,72.0,0.9,4.1000000000000005,C1,2.0,0.0,1,A,0.5568604684053615
,164.0,7.0,6.300000000000001,C2,,1.0,0,A,0.1057406750830912
56.8,114.0,3.4000000000000004,-1.2000000000000002,C3,2.0,1.0,0,,0.1321596589871271
53.0,108.0,4.2,7.1000000000000005,C2,4.0,0.0,0,A,-0.7808760302928115
61.900000000000006,98.0,5.800000000000001,4.1000000000000005,C2,3.0,,0,A,0.5170851076702834
40.6,67.0,4.3,3.5,C3,1.0,1.0,0,A,1.7647183009521092
45.0,124.0,0.5,-5.6000000000000005,C1,2.0,0.0,1,A,0.0888213407266587
42.7,128.0,5.5,-3.2,C3,3.0,1.0,0,,-1.6671660396283712
47.0,117.0,-2.5,-10.5,C4,3.0,1.0,0,A,-0.6787613554768265
39.1,97.0,2.9000000000000004,9.8,C1,,0.0,0,A,0.524946166427131
55.2,126.0,4.4,-1.3,C1,,1.0,1,A,0.5562161231029884
48.400000000000006,96.0,0.7000000000000001,-0.7000000000000001,,5.0,0.0,1,,-0.7483529133261426
38.400000000000006,48.0,0.5,0.7000000000000001,C3,,1.0,0,A,-0.8476074230146574
42.0,48.0,,1.3,C2,2.0,0.0,0,A,0.1823983941284996
52.7,140.0,-3.9,-5.7,C2,4.0,1.0,1,A,0.2841928604955068
,111.0,1.2000000000000002,-1.3,C3,2.0,1.0,0,A,0.165024085065841
66.10000000000001,,-0.7000000000000001,,C2,2.0,1.0,0,A,-0.0052013628801711
73.5,145.0,-1.8,-7.6,C3,4.0,0.0,0,A,-0.0186357957687291
53.5,113.0,,0.9,C4,5.0,1.0,1,A,-0.6954592372220769
42.2,96.0,4.800000000000001,-7.2,C2,3.0,1.0,0,A,-1.888958547264372
33.1,90.0,5.0,-5.2,,3.0,1.0,1,A,-1.2369684026708114
52.3,83.0,-0.9,-7.9,C2,2.0,1.0,0,A,-0.3876076112131443
43.7,121.0,2.4000000000000004,4.1000000000000005,C2,3.0,0.0,0,A,0.7651124568063503
46.8,75.0,-2.7,-5.2,,4.0,1.0,0,A,-0.8903967798049548
45.3,99.0,3.0,3.9,C3,4.0,0.0,0,A,2.0444082610214607
49.0,67.0,5.9,5.2,C3,1.0,1.0,0,A,-0.1506340859535196
58.7,110.0,-0.8,,C4,1.0,0.0,1,A,-0.7896840298969395
51.400000000000006,85.0,1.4,-4.4,C2,4.0,1.0,1,A,0.7519926212458852
48.900000000000006,99.0,6.6000000000000005,4.5,C4,3.0,0.0,0,A,1.20709634195429
41.900000000000006,106.0,0.9,0.2,C1,5.0,0.0,1,A,1.4917508735984737
36.8,80.0,5.800000000000001,12.8,C3,1.0,1.0,0,A,0.865363476196238
46.3,147.0,5.1000000000000005,1.4,C2,5.0,0.0,0,A,0.5683346363859051
49.7,121.0,1.0,2.4000000000000004,C1,1.0,0.0,1,A,-0.3317656406791867
64.3,118.0,-1.2000000000000002,-3.2,C2,1.0,1.0,0,A,0.1954583070489345
51.2,100.0,2.5,-2.4000000000000004,C1,5.0,0.0,1,A,0.3229473523235711
58.0,124.0,4.2,5.800000000000001,C1,3.0,0.0,0,A,-0.6856034330912628
46.2,113.0,5.1000000000000005,10.9,C2,2.0,1.0,0,A,0.451732051098252
40.7,,4.1000000000000005,3.1,C5,3.0,1.0,1,A,-1.8123065775903795
42.400000000000006,105.0,5.300000000000001,0.1,C4,2.0,0.0,0,A,-0.6652227886074374
44.400000000000006,58.0,-2.2,-1.5,C5,5.0,0.0,1,,-0.4457048959786249
67.2,144.0,1.7000000000000002,1.0,C1,4.0,0.0,0,A,0.0601177032845134
43.6,119.0,0.5,,C1,4.0,1.0,0,A,0.4576197780408045
56.900000000000006,120.0,3.8,4.9,C1,2.0,0.0,0,,0.3811491865058439
42.900000000000006,26.0,4.7,-1.5,C3,1.0,0.0,0,A,0.3030098481877233
57.6,65.0,1.7000000000000002,5.2,C5,4.0,1.0,1,A,-1.4373965960841275
53.2,121.0,2.1,3.5,C2,1.0,1.0,0,A,2.170281856098069
48.900000000000006,32.0,1.6,3.8,C2,1.0,1.0,0,A,
49.8,116.0,3.5,3.4000000000000004,C1,3.0,1.0,1,A,1.227546714153446
44.900000000000006,118.0,,5.5,C3,4.0,,0,A,0.2638106987259831
53.7,137.0,-0.7000000000000001,-0.4,C4,3.0,0.0,1,B,0.1541110907768651
46.5,88.0,5.4,2.0,C3,3.0,1.0,0,A,
40.3,96.0,8.4,6.300000000000001,C3,5.0,0.0,1,A,-0.0571573852998051
39.900000000000006,89.0,,3.5,C2,2.0,0.0,1,A,-1.596352767751033
51.5,63.0,-2.3000000000000003,-2.2,C2,1.0,1.0,0,A,-0.3631461726194397
62.8,142.0,5.6000000000000005,3.6,C2,2.0,1.0,0,A,2.1893271773160485
51.400000000000006,140.0,2.0,-1.2000000000000002,C4,3.0,1.0,0,A,0.6791632627731896
49.2,117.0,1.6,-0.9,C3,4.0,1.0,0,A,-0.5834412882474156
52.400000000000006,91.0,4.4,2.3000000000000003,C1,3.0,0.0,1,A,-0.4089149684839075
60.6,138.0,-0.7000000000000001,-9.7,C2,3.0,0.0,0,,-0.4860866763992121
51.900000000000006,138.0,5.9,7.9,C1,3.0,0.0,0,A,-0.1839901956530862
46.900000000000006,126.0,-0.7000000000000001,-0.8,C1,3.0,0.0,1,A,1.296909306120314
59.0,143.0,0.8,-3.5,C1,2.0,1.0,0,A,0.4904746508392047
53.6,63.0,1.4,2.1,C4,1.0,0.0,1,A,-0.5434546883244329
62.5,132.0,4.2,-0.1,C1,2.0,0.0,0,A,-2.169155830060637
51.6,120.0,-0.5,-4.2,C5,2.0,1.0,1,A,1.6554385540465253
40.400000000000006,112.0,-1.1,-1.0,C1,2.0,0.0,1,B,1.110588945238958
,96.0,2.2,6.4,C2,2.0,0.0,0,A,-0.0444718749555208
63.400000000000006,165.0,2.3000000000000003,1.6,C4,3.0,1.0,0,A,0.3609873593219222
64.0,74.0,3.8,-1.6,C1,3.0,0.0,1,A,-0.4008069067064335
48.7,113.0,-2.6,-5.4,C4,2.0,1.0,1,A,-0.6704609380703322
47.1,108.0,2.0,3.8,C3,2.0,0.0,0,A,2.442348962351784
61.900000000000006,144.0,5.300000000000001,4.800000000000001,C1,1.0,1.0,0,A,
41.3,127.0,-3.8,,C5,4.0,0.0,1,A,-0.3002599710025414
43.0,,4.5,4.0,C1,3.0,0.0,1,A,0.4203693866802082
55.3,150.0,-0.4,1.3,C1,4.0,0.0,1,A,0.5279820182137064
47.0,117.0,4.5,10.9,C4,2.0,0.0,0,A,0.0400244055603825
50.1,95.0,-0.2,-7.5,C1,1.0,1.0,0,A,-0.2499416133027974
48.900000000000006,74.0,-0.1,,C3,4.0,0.0,0,A,0.3216077102496867
52.900000000000006,,-1.6,1.0,C1,1.0,0.0,1,A,-1.0914223738837645
61.400000000000006,127.0,,14.8,C5,2.0,0.0,0,A,-1.0968312413536905
50.900000000000006,111.0,0.3,-5.5,C2,3.0,0.0,0,A,0.5956523622237586
55.3,92.0,4.0,3.5,,4.0,0.0,1,A,-0.7670382064820633
33.7,89.0,3.8,2.4000000000000004,C5,,1.0,1,A,0.7025116744687585
49.8,89.0,-3.5,-0.9,C3,4.0,1.0,1,A,1.1288398533538713
43.400000000000006,122.0,0.3,0.7000000000000001,C3,3.0,0.0,0,A,1.4158004006139415
40.400000000000006,130.0,3.1,2.6,C2,4.0,0.0,0,A,1.1621132874917568
43.1,,5.800000000000001,6.800000000000001,C3,2.0,0.0,0,A,
47.5,98.0,4.6000000000000005,2.0,C1,3.0,0.0,1,A,
57.5,139.0,6.5,1.9,C2,1.0,0.0,0,,-0.0098851833124176
39.5,90.0,-2.0,-1.5,C2,3.0,0.0,1,A,1.0592866086541275
50.400000000000006,64.0,4.4,0.0,C2,,0.0,1,A,-0.2843332453715695
46.3,117.0,-1.6,-3.5,C1,4.0,1.0,1,A,1.3494198982523882
47.5,80.0,-3.2,-10.5,C4,4.0,0.0,0,A,0.1682054088169287
58.2,119.0,-3.2,-4.2,C1,3.0,0.0,1,A,1.34086470682906
54.5,81.0,-4.4,-9.4,C2,3.0,,0,A,0.1340971898232529
60.900000000000006,140.0,1.3,-0.6000000000000001,C3,4.0,0.0,0,A,
48.900000000000006,87.0,5.6000000000000005,-1.3,C1,4.0,0.0,1,A,-1.052533173165104
44.6,115.0,0.6000000000000001,-1.2000000000000002,C1,1.0,0.0,1,A,-0.3699777279458742
48.400000000000006,92.0,-2.4000000000000004,0.1,C1,3.0,0.0,1,A,1.5807960735608948
52.1,91.0,4.9,0.2,C1,5.0,1.0,1,A,1.5315483851764162
51.6,114.0,5.2,-1.0,C4,2.0,0.0,0,B,-2.325136019022085
41.5,57.0,-0.6000000000000001,,C2,3.0,,0,,2.3652900622727744
50.900000000000006,150.0,-0.9,1.5,C2,2.0,,1,,1.7329838820159778
52.0,108.0,4.5,4.1000000000000005,C1,4.0,0.0,1,A,-0.7048904646792027
70.3,119.0,5.7,1.4,C2,4.0,0.0,0,,0.7525869461792493
65.2,115.0,4.3,-0.5,C1,5.0,0.0,0,A,0.9440364496435698
43.3,89.0,1.7000000000000002,-1.6,C1,4.0,0.0,1,A,-2.494329212622706
47.900000000000006,123.0,2.7,0.5,C2,3.0,0.0,1,A,-0.1511716219563573
38.400000000000006,57.0,0.5,-8.5,C3,3.0,1.0,0,A,
45.400000000000006,82.0,3.6,-2.6,C1,4.0,0.0,1,B,-0.1922299605074138
52.7,103.0,0.9,4.4,C1,4.0,0.0,1,A,-1.3772618649928718
59.8,158.0,-2.3000000000000003,-2.7,C3,1.0,0.0,0,A,-0.1298556523324836
44.3,118.0,0.8,4.3,C1,2.0,0.0,1,A,0.5502045301907738
44.900000000000006,,5.300000000000001,7.4,C1,4.0,0.0,0,A,0.4173805998810243
33.0,72.0,-1.7000000000000002,,C5,1.0,1.0,1,A,-1.0886975601684736
48.900000000000006,137.0,7.1000000000000005,3.4000000000000004,,4.0,0.0,0,A,2.3169939884046946
41.7,120.0,5.4,7.300000000000001,C3,5.0,0.0,0,A,-1.0668519679815878
,112.0,6.6000000000000005,7.4,C4,2.0,,0,A,-0.6291623372967744
43.1,110.0,-2.2,0.7000000000000001,C1,2.0,1.0,1,A,0.5236724232281824
49.400000000000006,83.0,4.1000000000000005,1.9,C2,5.0,1.0,1,A,-0.5135396329188353
36.1,126.0,0.4,-0.7000000000000001,C2,3.0,1.0,1,A,-0.5733015385306346
38.400000000000006,74.0,-1.7000000000000002,-4.2,C1,4.0,1.0,0,A,-0.5350308939893671
67.2,144.0,-1.0,-2.7,C1,,1.0,0,A,-0.1263286323887405
39.900000000000006,101.0,6.1000000000000005,0.8,C5,2.0,1.0,1,A,
41.400000000000006,49.0,0.8,-1.2000000000000002,C1,1.0,,0,A,-0.2975901399789437
64.9,124.0,0.1,-2.2,C4,3.0,0.0,0,A,-0.5539430422698058
73.4,145.0,4.9,0.7000000000000001,C2,5.0,1.0,0,A,-1.1588939896825428
40.8,82.0,2.2,3.7,C3,3.0,0.0,0,A,0.2071761195454112
47.2,94.0,0.7000000000000001,-7.0,C2,1.0,1.0,0,A,0.5788644292935649
52.900000000000006,,4.6000000000000005,3.9,C2,1.0,1.0,0,A,-0.8482452825224871
64.0,101.0,-1.6,-6.9,C2,4.0,0.0,1,A,
42.3,53.0,,-3.9,C2,1.0,0.0,0,A,0.3683746981377991
,81.0,5.0,-0.5,C4,2.0,1.0,1,A,-0.6020674736026748
56.400000000000006,131.0,2.3000000000000003,2.4000000000000004,C4,4.0,0.0,0,A,-0.8216016064171977
53.6,129.0,-0.1,-11.3,C1,2.0,0.0,1,,0.7089488485108103
,112.0,-0.9,,C1,3.0,0.0,1,A,1.2693734151532376
49.1,123.0,5.300000000000001,3.2,C4,2.0,1.0,0,A,-0.3543054603367729
39.2,89.0,-4.0,-9.2,C1,2.0,0.0,0,A,-2.0333063648911724
48.3,83.0,2.7,1.5,C4,2.0,0.0,1,A,0.4305464590731094
48.0,71.0,,-3.7,C1,3.0,1.0,0,A,-1.5571799803907522
52.0,69.0,-0.6000000000000001,-2.3000000000000003,C1,2.0,0.0,0,A,1.8496901166412256
45.7,87.0,3.8,-3.6,C1,5.0,1.0,1,A,0.2646268868550533
53.900000000000006,128.0,5.0,11.4,C1,2.0,,0,A,0.6304565576687164
58.3,120.0,3.8,,C3,4.0,1.0,0,A,0.269597876066536
51.400000000000006,103.0,-3.0,-3.1,C2,2.0,1.0,1,A,0.9902695072718772
53.0,77.0,-3.0,-8.3,C5,2.0,1.0,1,A,0.6981028434643796
50.6,171.0,0.6000000000000001,-2.2,C2,3.0,0.0,1,A,0.4242198120378506
50.2,78.0,2.8000000000000003,,C3,4.0,0.0,0,A,0.2147810134542442
44.400000000000006,94.0,6.300000000000001,5.0,C3,,0.0,0,A,-1.542266383751824
52.7,132.0,6.4,5.7,C1,2.0,0.0,0,A,0.6527009936753371
49.400000000000006,100.0,6.6000000000000005,5.1000000000000005,C4,4.0,0.0,1,A,-0.2933383882074893
66.9,107.0,1.4,1.0,C2,2.0,0.0,0,A,0.2489594622393703
62.8,143.0,1.3,-1.2000000000000002,C2,5.0,0.0,0,A,0.9386188108074304
53.2,69.0,3.0,2.5,C2,1.0,0.0,1,A,-0.8523454135098346
44.1,137.0,2.8000000000000003,-1.8,C2,4.0,1.0,1,A,-0.7956781077711395
41.3,93.0,4.4,-2.3000000000000003,C1,3.0,0.0,0,A,0.8029408435768461
59.7,110.0,-1.2000000000000002,5.2,C1,2.0,1.0,0,A,-0.7330492204713708
52.3,66.0,-2.7,-2.2,C5,1.0,0.0,1,A,-0.5055505782847258
54.0,76.0,3.7,9.3,C4,5.0,0.0,1,A,-0.4594838714616694
,75.0,-1.1,-3.7,C4,2.0,0.0,0,A,0.60384060667773
,164.0,-1.6,7.2,C3,2.0,0.0,0,A,-0.3116260688412491
53.8,113.0,3.5,1.8,C3,2.0,0.0,0,A,
41.3,95.0,5.4,8.0,C4,2.0,0.0,1,A,1.332509905704243
46.400000000000006,104.0,4.9,2.8000000000000003,C2,3.0,0.0,0,A,0.5298839060519752
52.3,168.0,4.6000000000000005,3.1,C4,3.0,1.0,0,A,0.4744772858041284
50.6,89.0,4.9,2.2,,5.0,0.0,1,,-0.0718305755742381
47.8,139.0,-4.1000000000000005,-7.300000000000001,C2,2.0,0.0,1,A,-0.4193803368482526
49.3,88.0,2.1,4.4,C2,4.0,1.0,1,A,-1.5116169455976245
48.1,78.0,3.2,1.2000000000000002,C1,5.0,0.0,1,B,-0.2308954399926717
51.400000000000006,100.0,,0.6000000000000001,C1,1.0,1.0,1,A,1.0719465892691322
61.900000000000006,118.0,4.7,6.4,C5,4.0,0.0,0,A,1.8300925172080609
29.6,81.0,3.8,7.7,C2,2.0,1.0,1,A,-0.5908612724553652
,35.0,-6.5,-5.5,C1,3.0,0.0,0,A,-0.0021622807968711
51.6,107.0,4.9,-3.7,C5,1.0,1.0,1,A,0.4856429507188559
52.5,88.0,5.9,2.2,C5,2.0,0.0,1,A,0.2836639261538476
47.2,76.0,-0.9,-2.5,C3,1.0,1.0,0,A,-0.4213712154831421
36.1,42.0,4.4,2.3000000000000003,C1,2.0,0.0,1,A,-2.386364103834294
52.8,95.0,,7.800000000000001,C1,1.0,0.0,0,B,-0.4856869588707059
64.0,110.0,1.4,4.4,C4,5.0,0.0,0,B,
37.9,68.0,3.0,0.4,C1,5.0,0.0,1,A,-0.3555369085659326
57.1,68.0,3.0,11.3,C1,4.0,0.0,1,A,-0.1922271305084413
47.5,,2.0,,C1,2.0,1.0,0,A,-0.7375229945899533
49.7,78.0,5.300000000000001,1.9,C3,5.0,1.0,1,,0.1926733164675328
41.7,42.0,7.2,0.0,C2,5.0,0.0,1,A,-0.6968835661302236
47.5,81.0,,-6.4,C4,4.0,1.0,0,A,-1.4471802045374338
60.6,97.0,0.5,,C4,4.0,1.0,1,A,0.332681146345353
54.8,109.0,1.9,4.3,C5,2.0,1.0,1,,-0.1118383831112146
,109.0,,5.300000000000001,C1,5.0,1.0,0,A,0.3696891223950006
59.6,77.0,1.1,-4.4,C2,3.0,,1,A,0.9685480842496292
53.7,82.0,,,C3,3.0,1.0,1,A,-1.5435216374765135
64.10000000000001,77.0,3.6,4.9,C5,2.0,0.0,1,A,-0.2869749370294648
53.7,,2.1,-8.4,C1,1.0,1.0,0,A,-1.3003684559788522
56.8,328.0437521280195,1.1,6.800000000000001,C1,5.0,,0,A,0.1726789015487825
47.8,135.0,2.8000000000000003,,C3,3.0,0.0,0,A,-1.3768384779070737
50.7,85.0,5.7,6.800000000000001,C3,4.0,,0,A,-2.6841083048940155
44.6,,0.1,3.5,C1,1.0,0.0,0,A,1.2418959574460071
58.1,125.0,6.4,-4.7,C2,3.0,0.0,0,A,-1.1350852851469757
40.7,62.0,-0.3,-2.8000000000000003,C2,2.0,0.0,0,A,-0.5982836968077653
56.400000000000006,94.0,1.2000000000000002,4.800000000000001,C2,4.0,1.0,1,A,0.3357651324703916
48.6,93.0,3.5,1.4,C1,3.0,1.0,1,A,0.8475980616345766
